swimmer,team,time,scaled,meet_id,event,date,taper,snapshot
256775,184,69.25,0.09976135210249104,143422,F3100Y,1551484800,1,2196655255
256775,184,154.03,1.4004298881233317,119948,F3200Y,1538179200,2,2196655255
256775,184,150.68,0.6129785997558564,132028,F3200Y,1539388800,2,2196655255
256775,184,153.47,1.2687962399186188,119950,F3200Y,1539993600,2,2196655255
256775,184,151.11,0.7140544367701909,119951,F3200Y,1541203200,2,2196655255
256775,184,148.34,0.06293799832902128,136124,F3200Y,1542499200,1,2196655255
256775,184,147.37,-0.16507028516842692,136124,F3200Y,1542499200,1,2196655255
256775,184,150.86,0.65528941525023,119953,F3200Y,1547164800,2,2196655255
256775,184,149.17,0.25803786977528786,119954,F3200Y,1547251200,2,2196655255
256775,184,147.21,-0.20267989894120111,119957,F3200Y,1548460800,2,2196655255
256775,184,146.29,-0.41893517813466113,142919,F3200Y,1550880000,1,2196655255
256775,184,150.04,0.462540144664753,143422,F3200Y,1551571200,1,2196655255
256775,184,148.01,-0.014631830077330106,143422,F3200Y,1551571200,1,2196655255
256775,184,132.69,0.3463818143295463,136124,F5200Y,1542326400,1,2196655255
256775,184,136.49,1.2238266998446656,141362,F5200Y,1549065600,2,2196655255
395502,184,119.8,0.8228531170109563,138360,F1200Y,1545264000,2,2196655255
395502,184,130.44,0.4919809876239784,119948,F4200Y,1538179200,2,2196655255
395502,184,128.06,-0.2487588492394365,132028,F4200Y,1539388800,2,2196655255
395502,184,128.51,-0.10870299773165124,119950,F4200Y,1539993600,2,2196655255
395502,184,128.35,-0.15850063382330842,119951,F4200Y,1541203200,2,2196655255
395502,184,127.08,-0.5537693703008445,136124,F4200Y,1542499200,1,2196655255
395502,184,124.4,-1.3878797748361176,136124,F4200Y,1542499200,1,2196655255
395502,184,128.93,0.022015797008956586,119953,F4200Y,1547164800,2,2196655255
395502,184,127.29,-0.48840997293054056,119954,F4200Y,1547251200,2,2196655255
395502,184,126.95,-0.5942299496253154,119957,F4200Y,1548460800,2,2196655255
395502,184,126.07,-0.8681169481294387,142919,F4200Y,1550880000,1,2196655255
395502,184,125.91,-0.9179145842210958,143422,F4200Y,1551571200,1,2196655255
395502,184,125.46,-1.0579704357288855,143422,F4200Y,1551571200,1,2196655255
395502,184,25.8,1.297006648263335,119948,F150Y,1538179200,2,2196655255
395502,184,25.08,0.4162195163861901,136124,F150Y,1542326400,1,2196655255
395502,184,24.6,-0.17097190486523392,142919,F150Y,1550707200,1,2196655255
395502,184,55.24,0.7848470320730232,141362,F1100Y,1549065600,2,2196655255
395502,184,58.7,-0.06744244855367747,119948,F4100Y,1538179200,2,2196655255
